族語	中文翻譯	從語料庫移除	音檔
miletek	砍；砍伐；砍樹；折斷	保留	Sakizaya_A2-10-101.mp3
mililuc	洗（身體）；洗澡	保留	Sakizaya_A2-10-102.mp3
milimad	移動；搬動	保留	Sakizaya_A2-10-103.mp3
milisimet	整理	保留	Sakizaya_A2-10-104.mp3
militlit	割草（用鐮刀）	保留	Sakizaya_A2-10-105.mp3
minabuy	爬行	保留	Sakizaya_A2-10-106.mp3
minanam	學習；練習	保留	Sakizaya_A2-10-107.mp3
minanum	喝（水）	刪除	Sakizaya_A2-10-107.mp3
mingihngih	炒（飯菜）	保留	Sakizaya_A2-10-108.mp3
miniwaniw	拔草	保留	Sakizaya_A2-10-110.mp3
mipatay	死亡	保留	Sakizaya_A2-10-112.mp3
mipatubeli	回應	保留	Sakizaya_A2-10-113.mp3
mipedek	折（紙）	保留	Sakizaya_A2-10-114.mp3
mipiked	折（東西）	刪除	Sakizaya_A2-10-116.mp3
mipudac; mibidah	削（果皮）	保留	Sakizaya_A2-10-119.mp3
misahemay	煮（飯）	保留	Sakizaya_A2-10-120.mp3
misait	剪	保留	Sakizaya_A2-10-121.mp3
misakakawaw	工作	保留	Sakizaya_A2-10-122.mp3
misakamu	說	保留	Sakizaya_A2-10-123.mp3
misalamal	點火	保留	Sakizaya_A2-10-124.mp3
misausi	數；算	保留	Sakizaya_A2-10-127.mp3
misaydan	醫生	保留	Sakizaya_A2-10-128.mp3
miselip	吸取	保留	Sakizaya_A2-10-129.mp3
misiket	捆綁	保留	Sakizaya_A2-10-130.mp3
misipasip	塗（口紅；油漆）	保留	Sakizaya_A2-10-131.mp3
misipu	擦拭	保留	Sakizaya_A2-10-132.mp3
misiwasiw	篩	保留	Sakizaya_A2-10-132.mp3
misulit	寫	保留	Sakizaya_A2-10-134.mp3
misulul	答應	保留	Sakizaya_A2-10-135.mp3
mitebing	摸；觸摸	保留	Sakizaya_A2-10-136.mp3
mitengil	問；詢問	保留	Sakizaya_A2-10-137.mp3
mitengteng	拉；拉牛；牽牛	保留	Sakizaya_A2-10-138.mp3
mitiik	打	保留	Sakizaya_A2-10-139.mp3
mituduh	燒	保留	Sakizaya_A2-10-140.mp3
mituduh tu banuh	燒（獵物或家禽的）毛	保留	Sakizaya_A2-10-141.mp3
mitukud	踢	保留	Sakizaya_A2-10-142.mp3
mitutu	烘烤（地瓜）	保留	Sakizaya_A2-10-143.mp3
miubi	偷竊	保留	Sakizaya_A2-10-144.mp3
miwawah	打開	保留	Sakizaya_A2-10-147.mp3
mizakep	抓；捉	保留	Sakizaya_A2-10-148.mp3
mizateng	想	刪除	Sakizaya_A2-10-148.mp3
mizizaw	拜訪	保留	Sakizaya_A2-10-149.mp3
muangic	哭	保留	Sakizaya_A2-10-150.mp3
muculil	走路	保留	Sakizaya_A2-10-152.mp3
mucumud	進入	保留	Sakizaya_A2-10-153.mp3
mudadiw	唱歌	保留	Sakizaya_A2-10-154.mp3
mueneng	坐；住；居住	保留	Sakizaya_A2-10-155.mp3
muesus	放屁	保留	Sakizaya_A2-10-156.mp3
mukan	吃；喝（酒）	保留	Sakizaya_A2-10-158.mp3
muku	扛；揹負	保留	Sakizaya_A2-10-159.mp3
mulekal	起來；起床	保留	Sakizaya_A2-10-161.mp3
muli	海葡萄	保留	Sakizaya_A2-10-162.mp3
mutizeng	站立	保留	Sakizaya_A2-10-164.mp3
muwa	苧麻；麻薏	保留	Sakizaya_A2-10-165.mp3
naba	臼	保留	Sakizaya_A2-11-1.mp3
nacila	昨天	保留	Sakizaya_A2-11-2.mp3
nanum	水	保留	Sakizaya_A2-11-4.mp3
nasawni	剛才	保留	Sakizaya_A2-11-5.mp3
nayaan	何時（表過去）	保留	Sakizaya_A2-11-6.mp3
nayay/ inayay	沒有；不在	保留	Sakizaya_A2-11-7.mp3
ninel	地震	保留	Sakizaya_A2-11-8.mp3
ngangan	名字	保留	Sakizaya_A2-12-2.mp3
ngangay	口水	保留	Sakizaya_A2-12-3.mp3
ngayangay	獵寮	保留	Sakizaya_A2-12-5.mp3
ngayngay	客家人	保留	Sakizaya_A2-12-6.mp3
ngazuy	下巴	保留	Sakizaya_A2-12-7.mp3
ngelab	湯匙	保留	Sakizaya_A2-12-8.mp3
ngipen	牙齒	保留	Sakizaya_A2-12-10.mp3
ngitih	夢	保留	Sakizaya_A2-12-11.mp3
pabeli	給；贈送	保留	Sakizaya_A2-13-1.mp3
pabuy	豬	保留	Sakizaya_A2-13-2.mp3
pacakay	賣	保留	Sakizaya_A2-13-3.mp3
pacaliw	借入	保留	Sakizaya_A2-13-4.mp3
pacucuk	注射	保留	Sakizaya_A2-13-5.mp3
padahaw	大腿	保留	Sakizaya_A2-13-6.mp3
padingad	鳳梨	保留	Sakizaya_A2-13-7.mp3
paenu	種子	保留	Sakizaya_A2-13-8.mp3
pahabay	飼養；豢養	保留	Sakizaya_A2-13-9.mp3
pahalhal	準備（為某人）	保留	Sakizaya_A2-13-10.mp3
pahanhan	休息	保留	Sakizaya_A2-13-11.mp3
pahku	過貓	保留	Sakizaya_A2-13-12.mp3
pakanen	餵食	保留	Sakizaya_A2-13-13.mp3
pakayza	從（某處；某時）	保留	Sakizaya_A2-13-14.mp3
pakungku	講故事	保留	Sakizaya_A2-13-15.mp3
palang	老鷹	保留	Sakizaya_A2-13-16.mp3
