族語	中文翻譯	從語料庫移除	覆寫音檔網址	音檔網址
kndalax	從（某處；某時）	保留		http://ilrdc.tw/grammar/sound/5/A2-9-36.mp3
knkawas	年齡；歲	保留		http://ilrdc.tw/grammar/sound/5/A2-9-37.mp3
knuwan	何時	保留		http://ilrdc.tw/grammar/sound/5/A2-9-38.mp3
kodung	鉤子	保留		http://ilrdc.tw/grammar/sound/5/A2-9-39.mp3
ku; mu; yaku; naku; nnaku; kenan	我	保留		http://ilrdc.tw/grammar/sound/5/A2-10-1.mp3
kui	蟲	保留		http://ilrdc.tw/grammar/sound/5/A2-10-2.mp3
kuluk	烏龜	保留		http://ilrdc.tw/grammar/sound/5/A2-10-3.mp3
kusun	明天	保留		http://ilrdc.tw/grammar/sound/5/A2-10-4.mp3
kuung	黑暗	保留		http://ilrdc.tw/grammar/sound/5/A2-10-5.mp3
laqi	小孩；孩童	保留		http://ilrdc.tw/grammar/sound/5/A2-10-6.mp3
laqi muuyas	學生	保留		http://ilrdc.tw/grammar/sound/5/A2-10-7.mp3
lexi	竹筍	保留		http://ilrdc.tw/grammar/sound/5/A2-10-8.mp3
lhebun	心；心思；心念	保留		http://ilrdc.tw/grammar/sound/5/A2-10-9.mp3
lhengo	岩洞	保留		http://ilrdc.tw/grammar/sound/5/A2-10-10.mp3
lmabu	包（東西）	保留		http://ilrdc.tw/grammar/sound/5/A2-10-11.mp3
lmanguy	游泳	保留		http://ilrdc.tw/grammar/sound/5/A2-10-12.mp3
lmedax	天亮	保留		http://ilrdc.tw/grammar/sound/5/A2-10-13.mp3
lmeing	藏	保留		http://ilrdc.tw/grammar/sound/5/A2-10-14.mp3
lmepax	磨利	保留		http://ilrdc.tw/grammar/sound/5/A2-10-15.mp3
lmingis	哭	保留		http://ilrdc.tw/grammar/sound/5/A2-11-1.mp3
lmngelung	想；想念	保留		http://ilrdc.tw/grammar/sound/5/A2-11-2.mp3
ludux	頂端；尖端	保留		http://ilrdc.tw/grammar/sound/5/A2-11-4.mp3
lukus	衣服	保留		http://ilrdc.tw/grammar/sound/5/A2-11-5.mp3
luqah	傷口	保留		http://ilrdc.tw/grammar/sound/5/A2-11-6.mp3
ma; daha ka / daka	和；與	保留		http://ilrdc.tw/grammar/sound/5/A2-11-7.mp3
maanu	什麼；幹嘛	保留		http://ilrdc.tw/grammar/sound/5/A2-11-8.mp3
maasuw	分配（東西）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-9.mp3
macu	小米	保留		http://ilrdc.tw/grammar/sound/5/A2-11-10.mp3
madis	帶走；攜帶	保留		http://ilrdc.tw/grammar/sound/5/A2-11-11.mp3
maha	去（要去）；將要去做	保留		http://ilrdc.tw/grammar/sound/5/A2-11-12.mp3
mahu	洗（衣物）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-13.mp3
maku	我+你們（融合式）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-16.mp3
malix	放棄	保留		http://ilrdc.tw/grammar/sound/5/A2-11-17.mp3
malu	好；可以	保留		http://ilrdc.tw/grammar/sound/5/A2-11-18.mp3
mangal	拿取	保留		http://ilrdc.tw/grammar/sound/5/A2-11-19.mp3
mapa	揹負	保留		http://ilrdc.tw/grammar/sound/5/A2-11-20.mp3
matak	剪	保留		http://ilrdc.tw/grammar/sound/5/A2-11-21.mp3
matis	寫	保留		http://ilrdc.tw/grammar/sound/5/A2-11-22.mp3
mawak	牽（扶）著	保留		http://ilrdc.tw/grammar/sound/5/A2-11-23.mp3
maxal	十	保留		http://ilrdc.tw/grammar/sound/5/A2-11-24.mp3
maxal kbekuy	千	保留		http://ilrdc.tw/grammar/sound/5/A2-11-25.mp3
mbserux	懶惰	保留		http://ilrdc.tw/grammar/sound/5/A2-11-26.mp3
mbtunux	漂亮；美麗	保留		http://ilrdc.tw/grammar/sound/5/A2-11-27.mp3
mdakil / mdakin	爬（樹）；爬（植物攀爬）；生長；成長	保留		http://ilrdc.tw/grammar/sound/5/A2-11-28.mp3
mdakil	長大	保留		http://ilrdc.tw/grammar/sound/5/A2-11-29.mp3
mdheriq	滑的；明亮的；亮麗的	保留		http://ilrdc.tw/grammar/sound/5/A2-11-30.mp3
mdrumuc	勤勞	保留		http://ilrdc.tw/grammar/sound/5/A2-11-31.mp3
meepah; qmeepah	工作	保留		http://ilrdc.tw/grammar/sound/5/A2-11-32.mp3
mege	給；贈送	保留		http://ilrdc.tw/grammar/sound/5/A2-11-33.mp3
megul	捆綁（飛禽走獸）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-34.mp3
Mehu	收穫祭	保留		http://ilrdc.tw/grammar/sound/5/A2-11-35.mp3
mekan	吃	保留		http://ilrdc.tw/grammar/sound/5/A2-11-36.mp3
mekuy	捆綁（人、物品、蔬菜）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-37.mp3
meluk	關上	保留		http://ilrdc.tw/grammar/sound/5/A2-11-38.mp3
meluq	生的；未熟的	保留		http://ilrdc.tw/grammar/sound/5/A2-11-39.mp3
memux	抱	保留		http://ilrdc.tw/grammar/sound/5/A2-11-40.mp3
meniq	在；住在；居住	保留		http://ilrdc.tw/grammar/sound/5/A2-11-41.mp3
mepux	按；壓	保留		http://ilrdc.tw/grammar/sound/5/A2-11-42.mp3
mering	汗水	保留		http://ilrdc.tw/grammar/sound/5/A2-11-43.mp3
metaq	刺（以銳器）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-44.mp3
metur	踢	保留		http://ilrdc.tw/grammar/sound/5/A2-11-45.mp3
meeyah / meyah	來	保留		http://ilrdc.tw/grammar/sound/5/A2-11-46.mp3
mgnetun	遇到；相遇	保留		http://ilrdc.tw/grammar/sound/5/A2-11-47.mp3
mgrebu	早上	保留		http://ilrdc.tw/grammar/sound/5/A2-11-48.mp3
mhada	熟（瓜果、穀物或食物）	保留		http://ilrdc.tw/grammar/sound/5/A2-11-49.mp3
mhedu	完成	保留		http://ilrdc.tw/grammar/sound/5/A2-11-50.mp3
mhenuk	軟	保留		http://ilrdc.tw/grammar/sound/5/A2-11-51.mp3
mheyal / mheyan	扛	保留		http://ilrdc.tw/grammar/sound/5/A2-11-52.mp3
mheyu	站立	保留		http://ilrdc.tw/grammar/sound/5/A2-11-53.mp3
mhqeni	渴	保留		http://ilrdc.tw/grammar/sound/5/A2-11-54.mp3
mhulis	笑	保留		http://ilrdc.tw/grammar/sound/5/A2-11-55.mp3
mhuma	種植	保留		http://ilrdc.tw/grammar/sound/5/A2-11-56.mp3
